X,Y,Z
-2004045.0,2765295.0,32767.0
-2004015.0,2765295.0,32767.0
-2003985.0,2765295.0,32767.0
-2003955.0,2765295.0,32767.0
-2003925.0,2765295.0,32767.0
-2003895.0,2765295.0,32767.0
-2003865.0,2765295.0,32767.0
-2003835.0,2765295.0,32767.0
-2003805.0,2765295.0,32767.0
-2003775.0,2765295.0,32767.0
-2003745.0,2765295.0,32767.0
-2003715.0,2765295.0,32767.0
-2003685.0,2765295.0,32767.0
-2003655.0,2765295.0,32767.0
-2003625.0,2765295.0,32767.0
-2003595.0,2765295.0,32767.0
-2003565.0,2765295.0,32767.0
-2003535.0,2765295.0,32767.0
-2003505.0,2765295.0,32767.0
-2003475.0,2765295.0,32767.0
-2003445.0,2765295.0,32767.0
-2003415.0,2765295.0,32767.0
-2003385.0,2765295.0,32767.0
-2003355.0,2765295.0,32767.0
-2003325.0,2765295.0,32767.0
-2003295.0,2765295.0,32767.0
-2003265.0,2765295.0,32767.0
-2003235.0,2765295.0,32767.0
-2003205.0,2765295.0,32767.0
-2003175.0,2765295.0,32767.0
-2003145.0,2765295.0,32767.0
-2003115.0,2765295.0,32767.0
-2003085.0,2765295.0,32767.0
-2003055.0,2765295.0,32767.0
-2003025.0,2765295.0,32767.0
-2002995.0,2765295.0,32767.0
-2002965.0,2765295.0,32767.0
-2002935.0,2765295.0,32767.0
-2002905.0,2765295.0,32767.0
-2002875.0,2765295.0,32767.0
-2002845.0,2765295.0,32767.0
-2002815.0,2765295.0,32767.0
-2002785.0,2765295.0,32767.0
-2002755.0,2765295.0,32767.0
-2002725.0,2765295.0,32767.0
-2002695.0,2765295.0,32767.0
-2002665.0,2765295.0,32767.0
-2002635.0,2765295.0,32767.0
-2002605.0,2765295.0,32767.0
-2002575.0,2765295.0,32767.0
-2002545.0,2765295.0,32767.0
-2002515.0,2765295.0,32767.0
-2002485.0,2765295.0,32767.0
-2002455.0,2765295.0,32767.0
-2002425.0,2765295.0,32767.0
-2002395.0,2765295.0,32767.0
-2002365.0,2765295.0,32767.0
-2002335.0,2765295.0,32767.0
-2002305.0,2765295.0,32767.0
-2002275.0,2765295.0,32767.0
-2002245.0,2765295.0,32767.0
-2002215.0,2765295.0,32767.0
